timestamp,x,y,z
1778509064423,0.01375873,7.9627156,1.7228323
1778509064440,0.0047856453,7.8400836,2.0285153
1778509064462,0.0,7.844869,2.0422742
1778509064478,-0.028115666,7.9016986,2.0279171
1778509064497,0.029312078,7.949555,2.0380867
1778509064518,0.038285162,7.8634133,2.0524435
1778509064534,0.019142581,7.6773715,1.9573289
1778509064553,0.0071784677,7.6624165,1.7521443
1778509064571,-0.07537391,7.8580294,1.5493526
1778509064591,-0.17587246,7.972885,1.6241283
1778509064609,-0.2865405,7.692925,1.933999
1778509064628,-0.12562318,7.3920274,1.9417756
1778509064647,0.26620153,7.852646,1.797608
1778509064665,0.35593235,8.886943,1.9208384
1778509064683,-0.1692922,9.057432,2.3712873
1778509064703,-0.58504516,8.215756,2.702095
1778509064721,-0.5192425,7.4249287,2.9006991
1778509064739,0.40737805,7.450053,3.0083764
1778509064759,1.4871392,8.0614195,3.4749768
1778509064777,1.7647067,8.973683,4.3118663
1778509064795,0.68135625,8.695518,5.5872407
1778509064815,-0.8422736,7.4494553,5.994619
1778509064833,-1.5786648,6.7112694,5.256433
1778509064851,-0.8428718,6.801,4.487739
1778509064871,0.19142582,7.636095,4.4231324
1778509064889,0.38404804,7.9507513,4.840082
1778509064908,-0.08733802,7.576873,4.939384
1778509064926,-0.5246264,7.3728848,4.6097727
1778509064946,-0.6358926,7.2101727,4.6037908
1778509064964,-0.18364914,7.3573313,4.871787
1778509064983,0.2536392,7.3956165,5.517849
1778509065002,0.3044867,7.3160553,6.0771713
1778509065020,0.031106694,7.0839515,6.4325056
1778509065039,-0.2536392,6.6741805,6.0664034
1778509065058,-0.3379862,6.1968126,5.6985073
1778509065076,-0.029312078,6.166902,5.869594
1778509065094,0.4989035,6.719644,6.3631134
1778509065114,0.70588267,7.1970124,6.89432
1778509065132,0.7639086,7.4919276,6.579664
1778509065151,0.4761717,7.6576304,5.8301125
1778509065170,0.17168503,7.7910304,5.3629136
1778509065188,0.04426722,9.047262,5.797809
1778509065206,-0.24885355,9.957133,6.727421
1778509065226,-0.60000026,10.104292,7.739585
1778509065244,-0.6963114,9.916455,8.541181
1778509065264,-0.785444,9.155538,9.276375
1778509065282,-0.7692925,8.322835,9.985249
1778509065301,-0.21296121,8.933005,10.601999
1778509065319,-0.084346995,9.272188,11.228918
1778509065338,-0.37268212,8.783454,11.5316105
1778509065357,-0.4977071,8.630313,11.100305
1778509065375,-0.55453664,8.766704,10.311271
1778509065395,-0.38285163,9.049655,9.62154
1778509065414,-0.34037903,8.770891,8.753544
1778509065432,-0.3786642,8.315657,8.099705
1778509065451,-0.42891344,7.9968133,8.190034
1778509065472,-0.5916254,7.722835,8.838489
1778509065491,-0.55513483,7.48116,9.326026
1778509065508,-0.33140594,7.036095,9.220144
1778509065530,0.08075777,6.483951,8.482556
