timestamp,x,y,z
1778509562845,-3.1429725,9.499506,0.7645068
1778509562863,-3.0640094,9.41815,0.8847462
1778509562878,-2.99043,9.203992,1.0773684
1778509562901,-2.8223343,9.213564,1.4183456
1778509562916,-2.716452,9.232108,1.4291133
1778509562932,-2.7385855,9.265608,1.2616158
1778509562950,-2.784049,9.183653,1.0372887
1778509562969,-2.7816563,9.059227,0.79860455
1778509562988,-2.71705,8.85464,0.8955139
1778509563006,-2.5752754,8.615358,0.91226363
1778509563025,-2.3712873,8.333005,0.9302098
1778509563044,-2.1332014,8.102695,0.90508515
1778509563063,-1.9375881,7.963912,0.87936234
1778509563080,-1.8323039,7.896913,0.87158567
1778509563100,-1.8329022,7.791629,0.8811569
1778509563118,-1.9304097,7.611569,0.9613165
1778509563137,-2.0051854,7.411768,1.1276177
1778509563156,-1.9495523,7.2975106,1.21017
1778509563174,-1.9902302,7.4033933,1.4715859
1778509563193,-2.251646,7.719844,1.8783658
1778509563212,-2.5543382,7.998608,2.1601207
1778509563230,-2.728416,8.161918,2.352743
1778509563249,-2.687738,8.170891,2.1864417
1778509563268,-2.4705894,7.911868,1.8987048
1778509563287,-2.1936202,8.028518,1.5487545
1778509563305,-1.9621146,8.1942215,1.4560326
1778509563324,-2.0685952,8.27139,1.5972091
1778509563343,-2.0871396,8.205587,1.9465612
1778509563361,-1.9010975,8.185846,1.9968106
1778509563381,-1.6731812,8.075776,2.1188445
1778509563398,-1.4075779,8.164909,1.9124635
1778509563417,-1.3639089,8.16431,1.8652053
1778509563437,-1.585245,8.309675,2.4586253
1778509563456,-1.9070797,8.566305,3.0699914
1778509563473,-2.2319052,8.988638,3.6323047
1778509563496,-2.4191437,9.385847,3.886542
1778509563511,-2.528017,9.672985,3.9038901
1778509563529,-2.6536403,10.040882,4.1928234
1778509563547,-2.708077,10.606186,5.055436
1778509563567,-2.7014968,11.085947,5.9084773
1778509563585,-2.4951158,11.310274,6.3595243
1778509563604,-2.3551357,11.36172,6.309275
1778509563623,-2.3922246,11.199606,6.1268225
1778509563642,-2.6691937,10.82812,5.8857455
1778509563660,-2.7834508,10.341181,5.6416774
1778509563679,-2.6063821,9.9015,5.416154
1778509563698,-2.2869403,9.498908,5.3497534
1778509563717,-2.0075781,9.102298,5.3826547
1778509563736,-1.8143578,8.844471,5.5340004
1778509563755,-1.7676977,8.734401,5.5537415
