timestamp,x,y,z
1778576179201,0.526421,8.999406,2.184049
1778576179219,0.6269195,9.02812,2.2857437
1778576179237,0.5665008,8.98146,2.5136602
1778576179259,0.3696911,8.977272,2.5256243
1778576179274,0.2105684,8.98804,2.5950162
1778576179293,0.19322042,9.132208,2.929413
1778576179313,0.38883367,9.375677,3.4995031
1778576179331,0.5096712,9.461819,3.863212
1778576179349,0.48454657,9.515059,3.9972103
1778576179369,0.4325027,9.592228,3.9577286
1778576179387,0.40438703,9.735199,3.976273
1778576179406,0.4331009,9.806385,4.0241294
1778576179425,0.3696911,9.707084,4.0474596
1778576179442,0.25124636,9.640084,3.9212382
1778576179462,0.23509483,9.529416,3.6400814
1778576179480,0.26261228,9.442677,3.301497
1778576179499,0.25124636,9.2793665,2.9820552
1778576179518,0.32961133,9.116654,2.7014968
1778576179536,0.32243285,8.848659,2.4155545
1778576179555,0.41934216,8.652447,2.178665
1778576179574,0.6263213,8.489137,2.0673988
1778576179592,0.85184485,8.320442,1.9034904
1778576179611,1.1012967,8.185248,1.8071793
1778576179629,1.2544373,8.003393,1.7186449
1778576179650,1.4506488,7.9357963,1.6301104
1778576179667,1.5804594,7.8873415,1.5984055
1778576179687,1.4787644,7.8831544,1.6737795
1778576179704,1.1353943,7.861619,2.0321047
1778576179723,0.55334026,7.8089767,2.6452653
1778576179743,0.24945176,7.789236,3.667599
1778576179760,0.27218357,7.700701,4.5942197
1778576179780,0.016151553,7.579864,5.154738
1778576179799,-0.1160519,7.5954175,5.4059844
1778576179817,-0.05922236,7.4039917,5.392824
1778576179835,-0.041874398,6.8650084,5.298906
1778576179854,0.29671,6.344569,5.5477595
1778576179872,0.46002015,5.933602,5.684748
1778576179891,0.27756742,5.5669017,5.5830536
1778576179911,-0.091525465,5.444868,5.6069818
1778576179929,-0.35353956,5.393422,5.5226345
1778576179947,-0.55513483,5.3790655,5.1475596
1778576179965,-1.0636097,5.0440702,4.258028
1778576179985,-1.7533408,4.907679,3.824329
1778576180003,-2.4945176,5.4317074,4.066602
1778576180023,-3.269194,6.7429743,4.6211386
1778576180042,-4.0151563,8.1020975,5.1385865
1778576180059,-4.430311,9.608379,5.7786665
1778576180078,-4.95733,10.871191,6.413363
1778576180098,-5.191827,11.935399,8.107481
1778576180116,-5.1254263,14.498113,10.561321
