timestamp,x,y,z
1778509919599,-3.342175,9.288938,0.87218386
1778509919617,-3.5826538,9.02453,1.2658032
1778509919637,-3.711268,8.854042,1.5984055
1778509919654,-3.7016966,8.9210415,1.5840486
1778509919673,-3.7124643,8.953942,1.3310076
1778509919691,-3.7160535,8.881559,1.1688938
1778509919710,-3.7363925,8.672188,1.2119647
1778509919728,-3.6801612,8.389834,1.1371889
1778509919747,-3.5569308,8.093722,1.1060823
1778509919766,-3.3900316,7.830512,1.032503
1778509919785,-3.219543,7.5439715,1.0683953
1778509919803,-3.0753753,7.128817,1.2005987
1778509919822,-2.978466,6.5946193,1.2933207
1778509919841,-2.789433,6.116653,1.3160524
1778509919859,-2.4484558,5.9527445,1.1060823
1778509919879,-2.199004,5.903692,1.0097711
1778509919897,-2.1517458,5.7463636,1.015155
1778509919915,-2.1391835,5.4837513,1.0444671
1778509919935,-2.0877378,5.302495,1.0456635
1778509919953,-1.9357935,5.6171513,1.2568301
1778509919971,-2.0021944,6.076573,1.861616
1778509919990,-2.3264217,6.3050876,2.6871397
1778509920009,-2.6859434,6.2123656,3.1555347
1778509920027,-2.7762725,6.2177496,3.0927234
1778509920047,-2.6129622,6.8081784,3.3080773
1778509920065,-2.702095,7.541579,4.3124647
1778509920084,-3.0227332,7.6833534,5.163113
1778509920103,-3.3314073,7.499106,5.288138
1778509920122,-3.3050864,7.780263,5.211568
1778509920139,-3.1154552,8.772088,5.4406805
1778509920160,-3.345166,9.275179,6.061618
1778509920178,-3.6891344,9.334999,6.4773707
1778509920197,-3.9978085,9.689137,6.3864436
1778509920215,-4.195216,10.395618,6.4205413
1778509920235,-4.354339,11.370693,6.9649086
1778509920253,-4.5708895,11.754742,7.7012997
1778509920271,-4.8861437,11.834303,8.121839
1778509920291,-5.189434,11.582458,8.113463
1778509920309,-5.2127643,11.305489,7.937591
1778509920327,-5.0458646,10.956735,7.8496547
1778509920346,-4.831109,10.3543415,7.6534433
