timestamp,x,y,z
1778509518486,0.25902304,9.201599,3.5120654
1778509518506,0.21894327,9.044869,3.611966
1778509518527,0.2883351,9.001799,3.7704902
1778509518543,0.39900318,8.99163,3.6861434
1778509518563,0.39541394,8.982058,3.5766716
1778509518580,0.42951167,9.005388,3.5533416
1778509518598,0.41156548,9.090932,3.4713874
1778509518618,0.31465617,9.144172,3.6131623
1778509518636,0.18664017,9.116056,3.4923246
1778509518655,0.18843478,9.139386,3.3780673
1778509518674,0.24646074,9.253643,3.3834512
1778509518692,0.21535404,9.249456,3.554538
1778509518712,0.093918286,9.083753,3.6394832
1778509518729,0.012562319,8.921639,3.6191442
1778509518747,0.059820566,8.769096,3.5724843
1778509518768,0.18364914,8.629715,3.5318062
1778509518786,0.27876383,8.45803,3.5048869
1778509518804,0.25004998,8.280961,3.4666018
1778509518823,0.18364914,8.157132,3.3176486
1778509518842,0.2009971,8.036893,3.0418758
1778509518860,0.20697916,7.960323,2.8749764
1778509518880,0.13998012,7.8173513,2.836093
1778509518898,0.1052842,7.5936227,2.8313074
1778509518916,0.1363909,7.240083,2.8947172
1778509518935,0.2656033,7.1168528,3.2165518
1778509518954,0.3475575,7.20778,3.5988052
1778509518973,0.2847459,7.4333034,3.778865
1778509518992,0.11844472,7.5050883,3.6957145
1778509519011,0.11365908,7.719246,3.418147
1778509519028,0.12921242,7.87119,3.3894334
1778509519048,0.04965107,8.254042,3.8123646
1778509519067,-0.2416751,8.562716,4.342375
1778509519085,-0.5455636,8.755338,4.6342993
1778509519103,-0.5988039,8.812766,4.680959
1778509519123,-0.3702893,8.778668,4.8125644
1778509519141,0.1274178,8.968299,5.258826
1778509519160,0.46002015,9.050254,5.9210396
1778509519178,0.424726,8.965906,6.422934
1778509519197,0.049052864,9.010772,6.689734
1778509519216,-0.2015953,9.0544405,6.4570317
1778509519235,-0.15553348,9.349357,6.3427744
1778509519254,-0.14356937,9.340384,6.5431733
1778509519271,-0.16091733,9.317053,6.795616
1778509519291,0.11365908,10.156336,6.983453
1778509519309,0.12921242,10.915459,7.2640114
1778509519327,-0.38644084,10.7844515,7.5056863
1778509519347,-0.81834537,10.261022,7.344171
1778509519366,-1.0929217,9.41157,6.745367
1778509519383,-1.082154,8.413164,6.1794643
1778509519403,-0.7513463,7.7389865,5.8079786
1778509519422,-0.4432704,7.4123664,5.5262237
1778509519439,-0.36610186,7.1156564,5.322834
1778509519459,-0.39182472,6.9912295,5.031508
1778509519479,-0.4660022,6.9475603,4.786842
1778509519497,-0.48394838,7.0761747,4.767101
1778509519521,-0.5413761,7.4494553,4.9471607
1778509519541,-0.6873383,7.798807,5.264808
