timestamp,x,y,z
1778576427661,-1.0504491,9.629914,7.124031
1778576427677,-0.83090764,9.092726,8.125427
1778576427697,-0.111266255,8.318648,8.906086
1778576427714,0.32482567,7.521838,9.290133
1778576427733,0.3074777,6.672386,9.12503
1778576427751,0.30987054,6.3858457,8.791828
1778576427772,0.12981063,6.437291,8.292327
1778576427789,-0.058624156,6.6478596,8.103293
1778576427807,-0.31286156,6.9385877,7.8891363
1778576427826,-0.7393822,7.159325,7.6348987
1778576427845,-1.2855439,7.2095747,7.7276206
1778576427863,-1.5643078,7.2975106,7.876574
1778576427883,-1.5044873,7.740183,7.8813596
1778576427901,-1.3022938,8.135597,7.940582
1778576427919,-1.2646067,8.235497,8.050054
1778576427939,-1.268196,8.293523,8.370093
1778576427957,-1.288535,8.23789,8.852247
1778576427975,-1.2837493,8.024331,9.1770735
1778576427995,-1.1718849,7.913663,8.968898
1778576428013,-1.0205388,8.001599,8.325827
1778576428031,-0.77347994,8.218149,7.7276206
1778576428051,-0.55812585,8.383254,7.4626155
1778576428069,-0.43908295,8.545966,7.5403824
1778576428088,-0.45224348,8.751749,7.969296
1778576428111,-0.5096712,9.154342,8.583653
1778576428126,-0.75553375,9.509077,8.870791
1778576428145,-1.1072787,9.8015995,8.793623
1778576428162,-1.4452649,9.8015995,8.273184
1778576428182,-1.4955142,9.661619,7.576275
1778576428200,-1.3609179,9.672985,6.666404
1778576428219,-1.3477573,9.431311,5.864808
1778576428238,-1.099502,9.209974,5.386244
1778576428256,-0.82313097,8.912068,4.92742
1778576428275,-0.64606214,8.466405,4.2771707
1778576428295,-0.738784,8.024929,3.4127634
1778576428312,-0.6442675,7.836494,2.6309085
1778576428332,-0.30149564,8.024331,2.0482562
1778576428350,-0.24107689,8.270193,1.4895321
1778576428368,-0.50787663,8.031509,0.8662018
1778576428386,-0.38763726,7.285547,0.506082
