timestamp,x,y,z
1778576339829,-1.5116657,8.937791,4.38066
1778576339849,-1.4255241,8.618947,4.63071
1778576339865,-1.2281163,8.360522,4.8006005
1778576339885,-1.0480564,8.335398,4.5505505
1778576339902,-0.99601245,8.196614,4.536792
1778576339921,-1.1018949,8.1020975,4.5361934
1778576339939,-1.3686945,8.056036,4.842475
1778576339959,-1.6606189,8.258827,5.3587265
1778576339977,-1.6923238,8.44128,5.6207404
1778576339996,-1.5816557,8.392825,5.6129637
1778576340015,-1.3674982,8.187042,5.6063833
1778576340033,-1.0869397,8.052446,5.6727843
1778576340051,-0.92482597,7.975876,5.703293
1778576340070,-1.0648061,8.067402,5.834898
1778576340089,-1.0606186,8.10449,5.515456
1778576340107,-1.1934203,8.088937,4.9878387
1778576340126,-1.5451652,8.176275,4.8209395
1778576340145,-2.248057,8.165507,5.1607203
1778576340164,-2.981457,7.993822,5.604589
1778576340182,-3.5874393,7.8107715,5.8307104
1778576340201,-3.9571304,7.6492558,5.4017973
1778576340220,-3.9840498,7.669595,4.0360937
1778576340238,-4.3645086,7.495517,2.5507488
1778576340257,-4.642076,7.609774,2.1936202
1778576340276,-4.9639106,7.827521,2.8432715
1778576340294,-5.3850474,8.021339,3.3236306
1778576340314,-5.788836,8.042875,3.4761732
1778576340333,-6.0568323,7.98784,3.8733816
1778576340351,-6.2524457,7.7994056,4.5158544
1778576340370,-6.3140607,7.711469,5.2887363
1778576340388,-6.1525455,7.6217384,5.8067822
1778576340406,-5.8426747,7.402197,6.2081785
1778576340426,-5.620142,7.0731835,6.6460648
1778576340444,-5.2815576,6.9152575,7.051648
1778576340462,-5.1463633,6.7202425,7.2825556
1778576340482,-5.1062837,6.4773707,7.436893
1778576340500,-5.0674,6.2775702,7.69113
1778576340518,-4.9692945,5.904888,7.7647095
1778576340538,-4.6564326,5.5226345,7.836494
1778576340557,-4.3728833,5.0793643,8.323434
1778576340574,-4.2006,4.9992046,9.104092
1778576340593,-4.046263,4.4374895,9.575478
1778576340613,-3.792624,4.2167516,9.52164
1778576340631,-3.5036905,4.2185464,8.919247
1778576340650,-3.0448668,3.9146578,8.381459
1778576340668,-2.1272194,3.3056846,8.6345005
1778576340687,-1.2616158,3.214159,9.476176
1778576340706,-0.5210371,2.687738,10.184451
1778576340725,0.40677986,2.4323041,10.469795
1778576340743,1.238884,2.757728,10.656436
1778576340762,1.39023,3.5401812,10.767104
1778576340781,0.92303133,4.5003014,10.629517
1778576340800,0.46779683,5.2606206,10.602597
1778576340820,0.1896312,5.901299,10.951351
1778576340838,0.18364914,5.945566,11.49512
1778576340860,0.9523434,5.271388,11.749955
1778576340878,2.528017,4.186243,11.539387
