timestamp,x,y,z
1778508778087,-0.8177471,8.656036,-0.024526432
1778508778104,-0.70169526,8.498708,0.18245272
1778508778125,-0.573081,8.498708,0.26979074
1778508778143,-0.48933223,8.713464,0.6149554
1778508778160,-0.55692947,8.986245,0.8039884
1778508778178,-0.56470615,9.281759,0.7363912
1778508778197,-0.6753742,9.567701,0.46660042
1778508778216,-0.9296116,9.892527,0.28594232
1778508778234,-1.0725827,10.459626,0.106480606
1778508778255,-1.2323036,11.209776,0.16450655
1778508778271,-1.422533,11.902498,0.41336012
1778508778290,-2.0075781,12.0640135,0.9882358
1778508778310,-2.7098715,11.214561,1.3429717
1778508778328,-2.501696,10.816754,0.9840483
1778508778346,-1.6624135,11.065608,0.90448695
1778508778366,-0.8428718,11.425728,1.3298112
1778508778384,-0.5688936,12.050853,1.9004993
1778508778403,-1.1718849,12.14537,2.388037
1778508778422,-2.2360928,11.587842,2.7475586
1778508778440,-3.161517,10.609776,2.8624141
1778508778459,-3.4366915,9.81476,2.687738
1778508778477,-3.2620156,9.359526,2.3048863
1778508778496,-3.2099717,8.872586,2.1014965
1778508778515,-3.199204,8.47119,1.8448663
1778508778533,-3.074179,8.30788,1.7180467
1778508778552,-2.9042885,8.19781,1.8203398
1778508778572,-2.6344976,8.087741,2.0871396
1778508778590,-2.2863421,8.148159,2.1870399
1778508778609,-1.9040886,8.151749,2.2157538
1778508778627,-1.6360924,8.078768,2.2289143
1778508778645,-1.3334004,7.943573,2.0231316
1778508778665,-1.0845468,7.9423766,2.012364
1778508778684,-0.7848458,8.075178,2.2354946
1778508778701,-0.38703907,8.321639,2.3168504
1778508778721,0.04007978,8.630313,2.3503501
1778508778741,0.4648058,8.84806,2.4939194
1778508778757,0.6269195,9.035298,3.1022944
1778508778777,0.9415757,9.2691965,3.687938
1778508778796,1.5182459,9.338589,3.9242291
1778508778814,2.1284158,9.174082,4.043272
1778508778832,2.574079,9.425328,4.0773697
1778508778851,2.5070798,9.760324,4.2281175
1778508778870,2.076372,10.4159565,4.545765
1778508778888,1.4763715,10.460822,4.2891345
1778508778907,1.0929217,10.4362955,3.5676985
1778508778925,1.1042876,10.718051,3.5006995
1778508778945,1.0600204,11.062019,3.7806597
1778508778964,0.9816555,11.20499,3.6221352
1778508778982,0.6723832,11.304891,3.1166515
1778508779001,0.39661035,11.243276,2.8839495
1778508779020,0.6053841,10.607981,2.7972097
1778508779039,1.3992031,10.314262,3.0664022
1778508779057,2.0015962,10.222736,3.5090744
1778508779078,2.2552354,10.135399,3.4408789
1778508779096,2.2325034,9.858429,3.2219357
1778508779116,2.519044,9.685548,3.187838
1778508779136,3.1830523,9.640084,3.2871401
1778508779157,4.0534415,9.443872,2.8456643
1778508779174,4.9639106,9.404989,2.2181466
1778508779210,5.8486567,9.110074,2.1445673
1778508779230,5.8971114,9.200403,2.1595225
1778508779246,5.786443,9.434899,2.2863421
1778508779263,5.845666,9.774082,2.3198416
