timestamp,x,y,z
1778576019366,-2.9246275,6.3074803,8.773284
1778576019383,-3.3290145,6.2177496,8.538788
1778576019401,-3.5006995,6.2757754,8.541181
1778576019420,-3.6293137,6.489933,8.156534
1778576019439,-3.7070804,6.541977,7.912466
1778576019458,-3.792624,6.5371914,7.829914
1778576019476,-3.8931224,6.437291,7.809575
1778576019494,-3.9756749,6.3044896,7.841878
1778576019514,-3.9158542,6.1453667,7.609774
1778576019532,-3.7686956,6.024529,7.219744
1778576019549,-3.5790644,6.018547,6.969694
1778576019570,-3.5072799,6.0227346,6.960721
1778576019588,-3.527619,5.951548,7.02772
1778576019606,-3.484548,5.89412,6.9948187
1778576019625,-3.345166,5.812166,6.8919272
1778576019644,-3.1046875,5.791827,6.7615185
1778576019662,-2.7308087,5.813961,6.732805
1778576019681,-2.396412,5.7840505,6.7615185
1778576019700,-2.207977,5.7601223,6.99781
1778576019719,-1.8807586,5.8169518,7.2879395
1778576019737,-1.6642082,5.86421,7.663613
1778576019756,-1.6157535,5.81755,7.998608
1778576019774,-1.561915,5.675177,8.242676
1778576019793,-1.5206388,5.383851,8.2678
1778576019812,-1.3244274,5.130212,8.118249
1778576019830,-0.95712906,4.9567323,8.147561
1778576019849,-0.61435723,4.7934217,8.181061
1778576019868,-0.1902294,4.510471,8.254042
1778576019887,0.33379877,4.1790648,8.252247
1778576019905,0.73519474,3.9343987,8.219944
1778576019924,0.9068798,3.694518,8.146365
1778576019942,0.8003992,3.4420755,8.13141
1778576019961,0.59581286,3.2566316,7.995617
1778576019980,0.64008003,3.3517463,7.9340014
1778576019999,1.1353943,3.7363925,8.235497
1778576020017,1.7880367,3.888337,9.0029955
1778576020036,2.3288147,3.5934215,10.061221
1778576020055,3.0311081,3.0586255,10.792827
1778576020073,3.8877387,2.6979074,10.996217
1778576020093,4.8502517,2.6267211,10.884951
1778576020112,5.430511,2.4089742,10.683355
1778576020129,5.6261244,1.9118652,10.509875
1778576020149,6.020342,1.457229,10.539785
1778576020167,6.641279,1.0025927,10.840683
