timestamp,x,y,z
1778576316019,-2.6153553,6.047859,7.7826557
1778576316035,-2.6685956,5.5675,7.9974113
1778576316053,-2.4765713,5.543572,8.353344
1778576316073,-2.2791636,5.590232,8.274381
1778576316091,-2.2121646,5.4753766,8.204391
1778576316109,-1.939981,5.345566,8.164909
1778576316129,-1.7126628,5.273183,8.316256
1778576316148,-1.4709877,5.4293146,8.218747
1778576316166,-1.3908281,5.4676,8.343773
1778576316184,-1.3998013,5.4149575,8.295917
1778576316203,-1.4327025,5.4436717,8.228917
1778576316222,-1.561915,5.4442697,8.2558365
1778576316240,-1.6851454,5.6685967,8.2014
1778576316260,-2.0153549,5.6650076,8.206185
1778576316278,-2.1481566,5.7750773,8.185248
1778576316296,-2.196013,5.7900324,8.165507
1778576316315,-2.143969,5.7804613,8.242676
1778576316334,-2.2498515,5.771488,8.279764
1778576316352,-2.6464617,5.8827543,8.283354
1778576316371,-3.1663027,6.0801625,8.194819
1778576316390,-3.3511481,5.9563336,8.002197
1778576316408,-3.5114672,5.9324055,7.8281193
1778576316429,-4.0235314,5.7930236,8.146365
1778576316446,-4.310072,5.8187466,8.538788
1778576316464,-4.5409794,5.706882,9.003593
1778576316484,-4.9118667,5.5513487,9.175279
1778576316502,-4.88076,5.4981084,8.942576
1778576316521,-4.5762734,5.3533425,8.59801
1778576316540,-3.9308095,5.048856,8.46461
1778576316559,-3.0759735,4.659424,8.4813595
1778576316576,-1.9686948,4.36391,8.582457
1778576316596,-0.9176475,3.9924245,8.559127
1778576316614,0.026919255,3.5246277,8.142776
1778576316633,0.5593223,3.062813,7.4063845
1778576316652,0.77347994,2.658426,6.541379
1778576316670,1.265205,2.4418755,6.4911294
1778576316689,1.8915263,3.0526435,7.6869426
1778576316707,2.2462623,3.3254254,8.540583
1778576316727,2.0811574,2.7272196,9.341579
1778576316744,1.6941184,1.8873389,10.155139
1778576316764,2.035694,1.4578272,10.604392
1778576316782,2.9766715,1.8975084,10.553544
1778576316801,4.024728,2.8695927,10.131211
1778576316819,4.4285164,3.8907297,9.595219
1778576316840,4.2454658,3.9343987,9.339187
1778576316857,4.028915,3.6107693,9.322437
1778576316876,4.072584,3.7106698,9.303893
1778576316896,4.4321055,4.0480576,9.374481
1778576316913,4.842475,3.7884364,9.332606
1778576316931,5.282156,3.438486,9.229715
1778576316951,5.5872407,2.8983064,9.096913
1778576316969,5.3096733,2.0398812,8.703294
1778576316989,4.8502517,1.3633107,8.397611
1778576317006,4.895715,0.8578269,8.337193
1778576317025,5.3246284,0.55513483,8.386844
1778576317044,5.960521,0.50488555,8.37129
1778576317064,6.2488565,0.50787663,8.313264
1778576317083,6.13759,0.43130627,7.958528
1778576317099,6.3882384,0.83988076,7.584051
1778576317119,6.856633,1.4045869,7.4697943
1778576317137,7.1545396,2.079961,7.2376904
