timestamp,x,y,z
1778576352957,-2.3784657,7.0492554,6.4881387
1778576352975,-2.408376,7.09113,6.172286
1778576352993,-2.585445,7.0061846,6.1698933
1778576353012,-2.6650062,6.9726853,5.968896
1778576353031,-2.574079,6.914061,5.5405807
1778576353049,-2.2725832,6.9116683,5.1296134
1778576353068,-2.0656042,7.019943,5.0213385
1778576353087,-1.9567307,7.320841,5.256433
1778576353105,-2.050649,7.298109,5.5274205
1778576353126,-2.242673,7.3806615,5.6440706
1778576353143,-2.356332,7.385447,5.556732
1778576353161,-2.425724,7.4709907,5.3503513
1778576353181,-2.6488547,7.7868433,5.3994045
1778576353199,-3.0430722,7.9794655,5.58425
1778576353217,-3.3583267,7.9950185,5.584848
1778576353238,-3.5760734,8.028518,5.3623157
1778576353255,-3.7220356,8.105088,5.197809
1778576353273,-3.8985064,8.153543,5.238487
1778576353294,-4.05404,8.0404825,5.346164
1778576353311,-4.174877,7.893324,5.3832526
1778576353329,-4.126423,7.64447,5.2127643
1778576353349,-4.0211387,7.4195447,5.09073
1778576353367,-3.8518462,7.1653075,4.877769
1778576353385,-3.6993039,6.9451675,4.7946186
1778576353409,-3.6005998,6.882954,4.9202414
1778576353423,-3.6227336,6.9409804,5.1876397
1778576353443,-3.6532419,6.9134626,5.373083
1778576353461,-3.720241,6.8285174,5.73081
1778576353481,-3.8440695,6.859026,6.0915284
1778576353498,-4.02054,6.960721,6.4905314
1778576353517,-4.3298125,7.053443,6.777072
1778576353536,-4.613362,7.13121,6.9355965
1778576353554,-4.831109,7.075577,7.152147
1778576353572,-4.9776692,7.043872,7.408777
1778576353592,-4.682754,6.6705914,7.380063
1778576353611,-4.6707897,6.5479593,7.943573
1778576353629,-4.0612183,6.1304116,7.9573317
1778576353648,-3.7848473,5.7152567,8.334201
1778576353666,-3.3631122,5.5710893,8.569296
1778576353684,-3.0460632,5.3180485,8.78465
1778576353705,-2.5812573,5.193023,9.072387
1778576353723,-2.1302104,5.105685,9.345767
1778576353740,-1.7168503,4.9657054,9.499506
1778576353761,-1.3968102,4.907081,9.552148
1778576353778,-0.91106725,4.8376894,9.305089
1778576353797,-0.5724828,4.6695933,9.272188
1778576353816,-0.13280165,4.3908296,9.240483
1778576353835,0.3499503,4.1168513,9.16152
1778576353853,0.9056834,3.9379878,9.044869
1778576353872,1.4685949,3.7160535,9.02453
1778576353890,2.1296122,3.4695928,8.885747
1778576353910,2.9300113,3.3846476,8.7679
1778576353929,3.6903307,3.042474,8.592627
1778576353951,4.453043,2.809772,8.344969
1778576353970,5.383851,2.9198418,8.213962
1778576353988,6.128617,3.118446,8.8014
1778576354008,6.8656063,3.1405797,9.25484
1778576354024,7.152147,2.9958138,9.182457
1778576354048,7.112665,2.9952157,8.915059
1778576354066,6.979265,3.2045877,8.56451
1778576354097,6.9170523,3.7226338,7.945966
