timestamp,x,y,z
1778575471267,0.55393845,9.17468,4.107878
1778575471272,0.44685963,8.709276,4.5224347
1778575471286,0.25782663,8.46102,4.1671004
1778575471305,0.12263216,8.676973,4.3794637
1778575471325,0.014356935,8.971291,3.9720855
1778575471343,0.20697916,9.365508,3.6149569
1778575471361,0.8147561,9.844072,3.4695928
1778575471379,1.1910275,10.17847,4.161717
1778575471400,1.5020944,10.097712,4.9052863
1778575471417,2.2636101,10.673783,5.52084
1778575471435,3.0472596,12.31526,5.575277
1778575471455,3.118446,13.068999,5.560322
1778575471473,2.2809582,12.366706,5.6416774
1778575471492,1.0426725,11.209776,6.248258
1778575471511,-0.16570297,9.752547,6.650851
1778575471530,-1.0163515,8.835498,6.5461645
1778575471547,-1.6767704,8.777472,6.9529443
1778575471567,-2.6829524,9.0849495,8.075178
1778575471585,-4.1204405,9.1465645,9.049057
1778575471603,-5.2576294,8.493324,9.001799
1778575471623,-5.988637,7.6546397,8.182257
1778575471641,-6.5018973,6.957132,7.0929246
1778575471659,-6.3595243,6.297311,6.4905314
1778575471679,-5.8803616,5.7314086,6.2213387
1778575471697,-5.006383,5.002196,6.0430737
1778575471715,-3.2213376,4.592425,5.3760743
1778575471735,-1.6342978,4.1407795,4.886742
1778575471755,-0.63170516,2.6745775,3.9535413
1778575471773,0.36131623,1.771287,2.9473593
1778575471790,1.0444671,1.6342978,2.9850461
1778575471810,1.6648064,2.8121648,3.6346977
1778575471828,2.0787647,4.7491546,4.782056
1778575471847,0.6693921,5.889933,6.364908
1778575471865,-1.4901303,6.233901,8.283354
1778575471884,-2.900101,6.943373,9.260822
1778575471903,-3.0095727,8.338987,10.249656
1778575471921,-2.8594232,9.123235,11.26182
1778575471941,-2.9359934,9.775279,12.400206
1778575471958,-3.822534,9.321838,14.400006
1778575471978,-3.7651064,7.975876,17.52623
1778575471996,-1.7730815,6.25424,18.611374
1778575472014,1.0301101,4.8011985,16.804195
1778575472034,4.2448673,3.53719,14.644074
1778575472052,7.4267235,2.312065,12.869797
1778575472071,10.077373,1.2909278,11.551352
1778575472090,11.248061,0.4755735,10.117453
1778575472108,11.320444,-0.5982057,9.953544
1778575472126,11.280364,-0.59641105,10.554741
1778575472147,10.983654,-0.3930211,11.06142
