timestamp,x,y,z
1778576376455,4.331009,5.6446686,7.463214
1778576376471,4.197609,6.044868,7.1730843
1778576376472,4.0767717,6.4612193,7.476374
1778576376506,4.305286,6.332007,7.5086775
1778576376529,4.586443,6.2883377,7.6031938
1778576376543,4.709075,6.2213387,7.7001033
1778576376562,4.6785665,6.1884375,7.84786
1778576376581,4.5355954,6.2027946,7.793423
1778576376599,4.2448673,6.1322064,7.7036924
1778576376619,3.9607196,6.1513486,7.4805617
1778576376637,3.8572302,6.113064,7.2352977
1778576376655,3.7226338,6.1651077,6.9326053
1778576376674,3.5527434,6.227919,6.7447686
1778576376693,3.461816,6.2237315,6.7387867
1778576376712,3.3469608,6.142376,6.7130637
1778576376730,3.2039895,6.1238313,6.6687965
1778576376748,3.0622149,6.239285,6.561718
1778576376768,2.9772696,6.373283,6.502496
1778576376786,2.9545379,6.387042,6.4163537
1778576376804,3.121437,6.343373,6.442675
1778576376824,3.3487554,6.170491,6.541379
1778576376842,3.6897326,5.831309,6.7184477
1778576376860,3.9870408,5.6213384,6.9708905
1778576376880,4.145565,5.430511,7.283752
1778576376898,4.104887,5.383851,7.4650083
1778576376917,3.8027935,5.499305,7.5182486
1778576376936,3.3511481,5.701498,7.4069824
1778576376955,3.0622149,5.8833528,7.2442703
1778576376973,2.9048867,5.9359946,7.1946197
1778576376992,2.8791637,5.9413786,7.3950186
1778576377011,2.8121648,5.9288163,7.77129
1778576377029,2.7385855,5.8301125,8.27139
1778576377048,2.6536403,5.7690954,8.547761
1778576377067,2.4484558,5.636294,8.455039
1778576377085,2.2875385,5.4412785,8.190034
1778576377104,2.1367905,5.236094,7.9310107
1778576377123,1.975275,5.0548377,7.743174
1778576377142,2.0482562,4.8640103,7.963912
1778576377159,1.6588243,4.938786,8.5220375
1778576377178,0.94695956,5.1332026,8.57468
1778576377197,0.0029910284,5.312066,7.9070826
1778576377215,-0.59581286,5.426922,7.192227
1778576377234,-1.2532408,5.59741,7.4697943
1778576377253,-2.0835502,6.0951176,8.699107
1778576377272,-3.2524443,6.3655066,9.771689
1778576377292,-4.342375,6.4701924,9.766306
1778576377309,-5.099105,6.418747,8.939586
1778576377328,-5.244469,6.4594245,7.882556
1778576377347,-4.6091747,6.3643103,7.112665
1778576377365,-4.180261,6.485746,6.91765
1778576377384,-4.179663,6.391229,7.2472615
1778576377404,-4.706084,6.1304116,7.1359954
1778576377421,-5.2049875,6.198009,6.4181485
1778576377439,-5.9503517,6.7908306,5.828916
