timestamp,x,y,z
1778576332471,-0.74117684,5.1607203,8.758927
1778576332488,-0.75553375,5.337191,8.815159
1778576332507,-0.7196414,5.6787663,8.365906
1778576332528,-0.74476606,5.8546386,8.150552
1778576332544,-0.66341007,6.040681,8.251051
1778576332563,-0.4953143,6.07418,8.630911
1778576332581,-0.3696911,6.0508504,8.933603
1778576332601,-0.32482567,6.0933228,8.824132
1778576332619,-0.357727,6.13101,8.770891
1778576332637,-0.37268212,6.145965,8.833105
1778576332657,-0.41994038,6.2177496,8.817552
1778576332675,-0.48933223,6.3655066,8.697312
1778576332693,-0.637089,6.37089,8.575876
1778576332713,-0.68135625,6.570691,8.373683
1778576332731,-0.7645068,6.7088766,8.186444
1778576332749,-0.8386843,6.632306,7.9423766
1778576332769,-0.84406817,6.7118673,7.6031938
1778576332787,-0.9068798,6.65444,7.210771
1778576332805,-1.0175478,6.7202425,6.899106
1778576332825,-1.1587243,6.815955,6.7441707
1778576332843,-1.1910275,6.849455,6.6622167
1778576332861,-1.3639089,7.0492554,6.411568
1778576332880,-1.8101703,7.3136625,6.170491
1778576332899,-2.411367,7.5260253,6.1770716
1778576332917,-2.9306095,7.542775,6.346962
1778576332937,-3.1387851,7.292127,6.855437
1778576332955,-2.9826534,7.140183,7.3543406
1778576332974,-2.6099713,6.910472,7.7276206
1778576332992,-2.1924238,6.6424756,7.929216
1778576333012,-1.7461623,6.350551,8.06441
1778576333030,-1.4721842,5.9916277,8.260024
1778576333049,-1.3830515,5.4676,8.544171
1778576333068,-1.2047862,5.0572305,8.652447
1778576333086,-1.0103694,4.8418765,8.703294
1778576333104,-0.70588267,4.659424,8.76491
1778576333124,-0.26799613,4.510471,8.957532
1778576333142,0.40977088,4.3561335,9.376874
1778576333161,0.92243314,4.2448673,9.70469
1778576333180,1.1742777,3.964309,10.156934
1778576333198,1.7844474,3.6323047,10.223334
1778576333216,2.661417,3.5096726,10.430912
1778576333236,3.1728828,3.097509,10.295119
1778576333254,3.6634114,2.9742785,9.591031
1778576333272,4.284349,2.6111677,8.72124
1778576333292,4.775476,2.3479571,7.520642
1778576333309,5.191827,1.9812572,6.562316
1778576333328,5.676972,1.515255,6.1591253
1778576333348,6.5455666,1.1162517,6.166902
1778576333366,7.389036,0.76989067,6.322436
1778576333384,7.978867,0.44745782,6.450452
1778576333404,8.458628,0.02632105,6.6053867
1778576333422,8.898309,-0.03708875,6.582655
